Sr.No.,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,y
2069,39,management,single,tertiary,no,1509,no,no,cellular,11,nov,248,1,no
2070,37,services,single,secondary,no,2571,no,no,unknown,6,jun,40,2,no
2071,55,housemaid,married,primary,no,1537,no,no,unknown,19,jun,359,1,no
2072,29,management,single,tertiary,no,1431,no,no,cellular,18,jun,201,4,no
2073,35,management,married,tertiary,no,193,yes,no,cellular,30,apr,565,1,yes
2074,57,housemaid,divorced,primary,no,8278,no,no,cellular,17,nov,408,3,no
2075,31,management,single,tertiary,no,2085,yes,no,cellular,20,aug,147,4,no
2076,36,admin.,single,secondary,no,135,no,no,unknown,5,jun,308,1,no
2077,52,blue-collar,married,primary,no,336,no,yes,telephone,17,jul,381,7,no
2078,30,management,married,tertiary,no,126,yes,yes,cellular,23,jul,75,10,no
2079,61,management,married,secondary,no,1471,no,no,cellular,12,aug,331,2,no
2080,60,blue-collar,married,primary,no,4903,no,yes,unknown,9,jun,290,1,no
2081,48,services,married,secondary,no,109,no,yes,cellular,20,aug,113,4,no
2082,34,admin.,married,secondary,no,233,yes,yes,cellular,8,jul,303,1,no
2083,44,services,married,secondary,no,-230,yes,yes,cellular,20,nov,352,1,no
2084,39,technician,married,secondary,no,4444,yes,no,unknown,21,may,244,1,no
2085,32,unemployed,married,tertiary,no,1364,no,no,cellular,11,aug,104,4,no
2086,33,admin.,married,secondary,no,0,no,no,unknown,19,may,326,2,no
2087,48,blue-collar,married,secondary,no,4259,no,no,cellular,31,jul,84,7,no
2088,34,management,married,tertiary,no,16,yes,no,telephone,29,sep,316,1,yes
2089,37,blue-collar,married,primary,no,120,yes,no,cellular,8,may,80,4,no
2090,30,technician,single,tertiary,no,985,yes,no,cellular,19,feb,88,2,no
2091,29,admin.,single,tertiary,no,4737,yes,no,unknown,3,jun,226,1,no
2092,33,blue-collar,single,secondary,no,476,yes,yes,cellular,17,apr,544,3,no
2093,28,entrepreneur,single,tertiary,no,104,no,no,cellular,30,apr,170,1,no
2094,55,housemaid,married,secondary,no,5,no,no,cellular,2,feb,269,1,no
2095,36,admin.,married,tertiary,no,3221,no,no,cellular,4,may,322,11,yes
2096,52,entrepreneur,married,unknown,no,0,yes,no,unknown,13,may,165,2,no
2097,49,services,married,secondary,no,3169,no,no,unknown,9,jun,626,1,no
2098,46,management,married,tertiary,no,1375,yes,no,cellular,17,nov,308,3,no
2099,27,services,married,secondary,no,15,yes,no,unknown,16,may,167,1,no
2100,42,technician,married,tertiary,no,14282,yes,no,cellular,17,nov,77,1,no
2101,35,blue-collar,married,secondary,no,210,yes,no,cellular,30,jan,626,3,no
2102,42,housemaid,married,secondary,no,279,yes,no,cellular,23,jul,673,1,no
2103,44,technician,divorced,secondary,no,14,no,no,cellular,13,nov,167,1,yes
2104,46,services,married,secondary,no,-204,yes,yes,cellular,28,jul,234,15,no
2105,60,technician,married,secondary,no,478,no,no,cellular,29,jan,139,1,no
2106,39,blue-collar,married,secondary,no,62,yes,no,cellular,7,may,877,3,yes
2107,42,management,married,secondary,no,6526,no,no,cellular,18,jun,133,2,no
2108,32,blue-collar,single,secondary,no,1342,yes,no,unknown,23,may,109,2,no
2109,30,management,married,tertiary,no,314,no,no,cellular,19,nov,364,2,no
2110,39,admin.,married,secondary,no,367,yes,no,unknown,7,may,106,1,no
2111,37,blue-collar,married,secondary,no,7,yes,yes,cellular,7,may,336,1,no
2112,50,services,single,secondary,no,321,no,no,telephone,22,aug,90,11,no
2113,47,blue-collar,divorced,secondary,no,-332,no,yes,cellular,5,feb,48,2,no
2114,36,management,single,tertiary,no,808,no,no,unknown,21,may,52,1,no
2115,47,entrepreneur,married,tertiary,no,1855,no,no,unknown,20,jun,129,3,no
2116,42,management,married,tertiary,no,99,no,no,cellular,21,aug,92,4,no
2117,42,services,married,secondary,no,1545,yes,no,cellular,17,apr,426,3,no
2118,41,unemployed,single,secondary,no,75,yes,no,cellular,8,may,103,2,no
2119,35,unemployed,married,secondary,no,1,yes,no,cellular,28,jul,173,8,no
2120,36,blue-collar,married,primary,no,0,yes,no,cellular,8,may,108,2,no
2121,55,admin.,married,secondary,no,183,yes,no,unknown,6,may,150,1,no
2122,37,blue-collar,married,primary,no,204,yes,no,unknown,21,may,161,4,no
2123,34,self-employed,divorced,secondary,no,172,yes,no,cellular,18,nov,65,1,no
2124,51,blue-collar,married,primary,no,202,yes,no,unknown,8,may,200,2,no
2125,57,management,divorced,secondary,no,23,no,yes,telephone,25,jul,330,1,no
2126,36,technician,divorced,secondary,no,-435,yes,no,unknown,2,jun,85,8,no
2127,28,services,single,secondary,no,94,yes,no,cellular,16,apr,300,1,no
2128,32,services,married,secondary,no,38,yes,no,cellular,15,may,744,1,yes
2129,44,admin.,married,secondary,no,1206,no,no,cellular,19,nov,180,3,no
2130,36,management,married,secondary,no,699,no,no,cellular,26,aug,20,8,no
2131,38,services,single,primary,no,556,yes,no,unknown,12,jun,113,1,no
2132,55,services,married,secondary,no,0,no,no,cellular,7,may,110,1,no
2133,50,admin.,married,secondary,no,1906,no,no,unknown,16,may,174,17,no
2134,37,services,married,secondary,no,1960,yes,yes,cellular,15,oct,246,5,no
2135,30,technician,single,secondary,no,9645,no,yes,cellular,26,aug,130,10,no
2136,23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,no
2137,27,admin.,single,secondary,no,125,no,no,cellular,21,jul,104,1,no
2138,29,management,single,tertiary,no,797,yes,no,cellular,18,may,334,2,no
2139,34,blue-collar,married,secondary,no,259,yes,no,cellular,14,may,291,2,no
2140,37,technician,single,secondary,no,228,yes,no,cellular,20,aug,1740,2,no
2141,59,technician,divorced,secondary,no,0,no,no,cellular,5,aug,54,1,no
2142,56,management,married,tertiary,no,247,no,no,cellular,30,jul,44,2,no
2143,33,admin.,divorced,secondary,no,-403,yes,no,unknown,28,may,217,1,no
2144,28,admin.,single,secondary,no,89,yes,yes,cellular,6,feb,172,2,no
2145,25,blue-collar,married,secondary,no,-288,no,yes,cellular,30,jul,311,4,no
2146,38,services,married,secondary,no,3259,yes,no,unknown,19,may,241,1,no
2147,57,services,married,secondary,no,8266,yes,no,telephone,21,nov,162,1,no
2148,37,entrepreneur,married,tertiary,no,227,yes,no,cellular,10,jul,283,1,no
2149,40,management,married,unknown,no,3165,yes,no,telephone,31,jul,77,2,no
2150,59,blue-collar,married,unknown,no,-278,yes,no,unknown,13,may,318,2,no
2151,37,management,single,tertiary,no,1517,no,yes,cellular,6,may,60,1,no
2152,30,services,divorced,secondary,no,436,yes,no,cellular,17,jun,1720,1,yes
2153,37,technician,married,primary,no,0,yes,no,unknown,6,may,76,4,no
2154,43,management,married,tertiary,no,1684,yes,no,cellular,18,nov,435,4,no
2155,35,blue-collar,single,secondary,no,3508,yes,no,cellular,15,jul,94,3,no
2156,32,technician,married,tertiary,no,2976,yes,no,cellular,14,aug,88,5,no
2157,58,management,married,tertiary,no,1602,no,no,cellular,21,nov,1032,10,no
2158,53,management,married,primary,no,995,no,no,cellular,4,feb,200,3,no
2159,56,blue-collar,married,primary,no,2442,no,yes,cellular,18,aug,111,7,no
2160,39,services,single,secondary,no,300,yes,yes,unknown,28,may,180,2,no
2161,32,management,divorced,tertiary,no,5550,yes,no,cellular,8,aug,89,4,no
2162,35,technician,single,secondary,no,5731,yes,no,cellular,4,may,164,2,no
2163,28,blue-collar,married,secondary,no,-42,yes,no,cellular,15,may,192,1,no
2164,33,management,married,tertiary,no,23,yes,yes,cellular,6,feb,150,1,no
2165,52,admin.,married,secondary,no,-732,yes,yes,unknown,28,may,61,2,no
2166,29,blue-collar,single,secondary,no,234,yes,no,cellular,8,may,139,1,no
2167,46,blue-collar,married,secondary,no,-221,yes,yes,cellular,2,feb,219,2,no
2168,58,retired,married,tertiary,no,5087,no,no,cellular,20,nov,63,2,no
2169,33,technician,single,secondary,no,487,yes,no,cellular,26,aug,532,14,no
2170,38,management,married,tertiary,no,0,yes,no,cellular,4,feb,138,1,no
2171,38,management,married,tertiary,no,1021,no,no,cellular,20,nov,87,3,no
2172,28,admin.,single,secondary,no,1448,no,no,cellular,8,jun,130,5,no
2173,31,blue-collar,single,secondary,no,196,yes,no,cellular,5,may,568,1,yes
2174,35,blue-collar,divorced,secondary,no,286,yes,no,cellular,15,may,158,1,no
2175,54,admin.,married,tertiary,no,59,yes,no,cellular,10,jul,268,1,no
2176,62,management,married,tertiary,no,0,no,no,cellular,13,oct,78,3,no
2177,56,admin.,married,unknown,no,1848,yes,no,cellular,4,feb,147,2,no
2178,43,technician,single,secondary,no,214,yes,no,cellular,14,may,335,1,no
2179,37,housemaid,divorced,primary,no,0,yes,yes,cellular,21,nov,158,7,no
2180,42,services,married,secondary,no,-91,yes,yes,cellular,5,feb,43,1,no
2181,35,self-employed,married,secondary,no,598,yes,no,cellular,20,apr,245,1,no
2182,40,technician,single,secondary,no,1411,yes,yes,cellular,18,nov,93,3,no
2183,38,management,divorced,secondary,no,-17,no,no,cellular,21,nov,11,4,no
2184,37,services,single,secondary,no,105,no,yes,unknown,17,jun,260,4,no
2185,31,blue-collar,married,secondary,no,1138,yes,yes,unknown,21,may,254,3,no
2186,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,no
2187,49,management,married,secondary,no,362,yes,no,unknown,4,jun,84,2,no
2188,34,management,married,tertiary,no,520,yes,no,cellular,12,aug,1307,4,yes
2189,35,technician,married,secondary,no,518,yes,no,cellular,30,apr,616,1,yes
2190,45,management,married,tertiary,no,80,no,yes,cellular,19,nov,157,1,no
2191,33,technician,single,secondary,no,2481,no,no,cellular,12,aug,104,2,no
2192,42,services,married,secondary,no,-246,yes,no,unknown,7,may,149,1,no
2193,34,admin.,married,tertiary,no,10,no,no,cellular,21,aug,90,1,no
2194,34,admin.,single,secondary,no,718,yes,no,cellular,29,jan,169,1,no
2195,31,technician,single,secondary,no,106,yes,no,cellular,8,may,94,1,no
2196,35,blue-collar,divorced,secondary,no,1780,yes,no,cellular,15,may,306,3,no
2197,36,housemaid,single,tertiary,no,561,no,no,unknown,6,jun,274,2,no
2198,44,blue-collar,single,primary,no,97,yes,no,unknown,23,may,95,14,no
2199,39,blue-collar,married,tertiary,no,200,yes,no,cellular,16,apr,166,1,no
2200,35,blue-collar,single,secondary,no,885,yes,no,cellular,15,jul,632,6,yes
2201,45,management,married,primary,no,4629,no,no,telephone,2,apr,285,2,no
2202,33,admin.,single,tertiary,no,2,no,no,cellular,29,jan,132,2,no
2203,38,blue-collar,married,secondary,no,6994,yes,no,cellular,20,nov,150,2,no
2204,60,housemaid,married,secondary,no,1361,no,no,cellular,8,aug,161,2,no
2205,47,self-employed,married,secondary,no,4420,yes,yes,cellular,20,nov,454,1,yes
2206,39,blue-collar,married,primary,no,8637,yes,no,telephone,20,apr,78,1,no
2207,47,blue-collar,married,secondary,no,1096,yes,yes,cellular,6,feb,174,2,no
2208,52,blue-collar,single,secondary,no,359,yes,no,cellular,30,jul,444,2,no
2209,34,management,married,tertiary,no,0,no,no,cellular,29,aug,120,2,no
2210,47,technician,married,tertiary,no,1127,no,no,cellular,11,aug,133,6,no
2211,55,retired,divorced,secondary,no,2204,no,no,cellular,3,jun,213,1,no
2212,75,retired,married,secondary,no,291,no,no,cellular,11,feb,515,1,yes
2213,51,admin.,divorced,secondary,no,115,yes,yes,unknown,8,may,136,1,no
2214,49,blue-collar,single,primary,no,1164,yes,no,unknown,8,may,72,1,no
2215,36,management,married,tertiary,no,327,yes,no,cellular,14,jul,74,6,no
2216,35,management,married,primary,no,3369,no,no,cellular,20,nov,322,1,no
2217,52,blue-collar,married,primary,no,1524,no,no,cellular,3,jul,1007,6,yes
2218,40,management,divorced,tertiary,no,9541,no,no,cellular,20,nov,128,2,no
2219,47,unemployed,married,secondary,no,955,yes,no,unknown,13,may,47,1,no
2220,36,admin.,single,tertiary,no,2317,yes,no,cellular,19,nov,56,2,no
2221,35,technician,married,secondary,no,19,yes,no,unknown,9,may,130,2,no
2222,31,management,single,tertiary,no,34,no,no,cellular,22,aug,121,1,no
2223,50,unemployed,married,secondary,no,3357,no,no,cellular,9,jun,239,4,yes
2224,45,management,married,tertiary,no,726,yes,yes,cellular,18,jul,199,1,no
2225,42,management,married,tertiary,no,187,no,no,cellular,11,aug,64,1,no
2226,26,management,single,tertiary,no,222,no,no,cellular,26,oct,318,1,yes
2227,29,student,single,secondary,no,1779,no,no,cellular,4,jun,400,1,yes
2228,35,entrepreneur,single,tertiary,no,16,no,no,cellular,17,nov,158,2,no
2229,36,blue-collar,single,unknown,no,2054,no,no,unknown,9,jun,378,1,no
2230,33,technician,single,secondary,no,111,no,no,cellular,28,aug,7,23,no
2231,36,technician,single,secondary,no,480,yes,no,cellular,28,jan,90,1,no
2232,57,technician,married,secondary,no,29,no,no,cellular,6,aug,122,2,no
2233,25,blue-collar,single,secondary,no,815,yes,no,unknown,19,may,268,6,no
2234,55,retired,married,secondary,no,785,yes,no,cellular,14,may,47,1,no
2235,44,management,married,tertiary,yes,0,yes,no,cellular,21,nov,123,2,no
2236,80,retired,married,primary,no,997,no,no,cellular,28,jan,151,1,yes
2237,61,retired,married,primary,no,0,yes,yes,telephone,18,aug,280,13,no
2238,56,retired,married,secondary,no,0,no,yes,cellular,7,aug,110,4,no
2239,35,technician,married,secondary,no,-180,no,yes,cellular,13,aug,823,2,yes
2240,31,management,single,tertiary,no,6495,no,no,cellular,4,may,383,2,no
2241,48,admin.,single,secondary,no,3531,yes,no,cellular,20,apr,81,2,no
2242,46,admin.,married,secondary,no,2533,no,no,cellular,4,aug,282,1,no
2243,41,blue-collar,married,primary,no,54,yes,no,cellular,10,jul,121,1,no
2244,41,blue-collar,divorced,secondary,no,3,yes,no,cellular,31,jul,228,4,no
2245,40,management,divorced,tertiary,no,37,yes,no,unknown,16,may,412,1,no
2246,46,management,married,tertiary,no,765,no,no,cellular,6,aug,71,2,no
2247,40,blue-collar,married,secondary,no,211,yes,no,unknown,5,may,216,4,no
2248,53,services,married,secondary,no,2925,yes,no,unknown,15,may,1392,4,no
2249,28,admin.,married,tertiary,no,153,yes,no,cellular,5,jun,77,1,no
2250,56,admin.,single,secondary,no,1854,yes,no,telephone,7,may,45,1,no
2251,51,services,married,secondary,no,122,no,yes,cellular,6,aug,499,2,no
2252,35,management,married,tertiary,no,3481,no,no,cellular,13,aug,388,3,no
2253,36,services,married,secondary,no,238,no,no,cellular,30,jan,424,1,no
2254,33,blue-collar,single,secondary,no,2764,yes,no,unknown,21,may,118,1,no
2255,25,blue-collar,married,secondary,no,51,yes,no,unknown,23,may,76,2,no
2256,44,blue-collar,single,secondary,no,712,yes,yes,cellular,6,apr,740,3,yes
2257,30,management,single,tertiary,no,102,yes,no,cellular,18,dec,364,3,yes
2258,30,management,married,tertiary,no,1251,no,no,cellular,5,feb,11,5,no
2259,46,technician,married,secondary,no,9299,no,no,cellular,19,jul,1148,1,yes
2260,37,blue-collar,married,secondary,no,346,yes,no,cellular,17,apr,390,1,no
2261,25,admin.,single,secondary,no,122,yes,no,cellular,7,may,481,2,yes
2262,32,blue-collar,married,primary,no,77,yes,no,cellular,17,apr,464,2,no
2263,51,housemaid,married,tertiary,no,6700,yes,yes,cellular,20,apr,64,4,no
2264,59,retired,married,unknown,no,575,no,no,cellular,22,aug,146,3,no
2265,55,services,married,secondary,no,2120,no,no,cellular,11,aug,236,3,no
2266,54,management,married,tertiary,no,656,yes,yes,cellular,27,aug,105,6,no
2267,31,blue-collar,married,secondary,no,326,no,yes,cellular,29,jan,124,1,no
2268,29,services,married,tertiary,no,0,no,yes,cellular,7,jul,158,1,no
2269,36,management,married,secondary,no,396,yes,no,cellular,7,may,327,4,no
2270,30,management,married,tertiary,no,1996,no,no,cellular,8,feb,1133,3,yes
2271,51,services,divorced,secondary,no,9,no,no,unknown,18,jun,371,2,yes
2272,46,blue-collar,married,primary,no,57,yes,no,cellular,16,apr,797,1,no
2273,35,blue-collar,married,primary,no,300,yes,no,unknown,4,jun,81,1,no
2274,29,services,married,secondary,no,68,no,no,unknown,20,may,119,3,no
2275,46,technician,divorced,secondary,no,1547,yes,no,cellular,3,feb,401,4,no
2276,35,blue-collar,divorced,unknown,no,172,no,no,unknown,11,oct,4,1,no
2277,55,entrepreneur,married,tertiary,no,0,no,no,cellular,17,aug,116,1,no
2278,35,management,married,unknown,no,1128,yes,no,unknown,4,jun,457,1,no
2279,31,entrepreneur,single,tertiary,no,734,yes,no,cellular,7,may,295,1,no
2280,35,unemployed,single,secondary,no,0,no,no,cellular,30,jul,740,3,no
2281,47,self-employed,married,tertiary,no,192,no,no,telephone,30,jul,120,6,no
2282,45,services,married,secondary,no,4060,yes,no,unknown,15,may,238,1,no
2283,41,technician,married,tertiary,no,177,yes,no,telephone,11,jul,117,2,no
2284,53,management,married,primary,no,2096,no,no,unknown,9,jun,104,1,no
2285,36,admin.,married,tertiary,no,0,no,no,cellular,25,nov,106,1,no
2286,56,blue-collar,married,primary,no,6677,yes,no,telephone,20,apr,197,4,no
2287,41,management,married,tertiary,no,27696,no,no,cellular,30,apr,108,1,no
2288,34,blue-collar,married,primary,no,351,no,yes,cellular,14,jul,326,11,no
2289,33,blue-collar,married,secondary,no,-825,yes,no,unknown,23,may,228,2,no
2290,34,unemployed,married,secondary,no,978,no,no,cellular,24,mar,132,1,yes
2291,36,management,married,tertiary,no,-1312,yes,yes,unknown,29,may,229,4,no
2292,59,management,married,secondary,no,1558,no,no,telephone,29,jul,1140,3,no
2293,55,technician,married,secondary,no,517,yes,yes,cellular,6,feb,47,3,no
2294,52,unemployed,married,secondary,no,-9,no,no,unknown,9,jun,123,1,no
2295,40,technician,single,secondary,no,153,no,no,cellular,7,aug,125,2,no
2296,51,management,single,tertiary,no,6510,no,no,unknown,15,may,30,1,no
2297,58,admin.,married,secondary,no,2160,yes,yes,cellular,5,may,1090,1,yes
2298,43,services,married,primary,no,822,yes,no,unknown,16,may,112,1,no
2299,28,blue-collar,single,secondary,no,455,yes,no,cellular,11,jul,166,1,no
2300,27,blue-collar,single,primary,no,431,yes,no,unknown,15,may,286,2,no
2301,29,management,married,tertiary,no,991,no,no,cellular,7,may,109,2,no
2302,35,management,divorced,tertiary,no,538,yes,no,unknown,12,may,66,4,no
2303,38,housemaid,married,secondary,no,0,no,no,cellular,15,jul,105,7,no
2304,36,blue-collar,married,secondary,no,-100,yes,no,unknown,3,jun,369,2,no
2305,38,entrepreneur,married,primary,no,-786,yes,no,cellular,7,may,126,1,no
2306,55,admin.,married,secondary,no,6207,yes,no,unknown,26,jun,113,5,no
2307,33,technician,single,secondary,no,-409,yes,no,unknown,28,may,96,1,no
2308,31,technician,married,secondary,no,2420,yes,no,cellular,19,nov,166,1,no
2309,27,blue-collar,married,secondary,no,5854,no,no,cellular,15,may,255,2,no
2310,28,technician,single,tertiary,no,4987,no,no,cellular,2,jun,924,2,yes
2311,34,management,married,tertiary,no,0,yes,no,cellular,18,nov,244,1,no
2312,75,retired,divorced,secondary,no,1092,no,no,telephone,12,oct,250,1,no
2313,35,services,single,secondary,no,1227,yes,yes,unknown,28,may,283,3,no
2314,34,unemployed,married,secondary,no,0,no,yes,unknown,26,jun,465,2,no
2315,53,management,married,tertiary,no,0,no,no,cellular,11,aug,608,2,yes
2316,47,unemployed,single,primary,no,7351,no,no,cellular,4,feb,1060,3,no
2317,36,unemployed,single,secondary,no,605,no,no,cellular,30,jan,410,2,no
2318,30,technician,single,secondary,no,2734,no,no,cellular,21,nov,459,3,yes
2319,38,admin.,single,secondary,no,569,yes,yes,cellular,2,feb,164,2,no
2320,55,technician,single,tertiary,no,-703,yes,no,cellular,8,may,123,3,no
2321,30,services,single,secondary,no,209,yes,no,unknown,6,may,30,2,no
2322,44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,no
2323,41,technician,single,secondary,no,1680,yes,no,unknown,2,jun,76,2,no
2324,38,management,married,tertiary,no,845,no,no,cellular,23,sep,134,1,no
2325,28,self-employed,married,secondary,no,123,no,yes,telephone,22,oct,313,1,yes
2326,27,entrepreneur,married,tertiary,no,-23,no,no,cellular,10,jul,123,4,no
2327,29,blue-collar,single,primary,no,145,no,no,unknown,3,jul,452,1,no
2328,35,admin.,married,secondary,no,100,yes,no,cellular,14,may,171,4,no
2329,54,management,married,secondary,no,4080,no,no,unknown,5,may,140,1,no
2330,59,blue-collar,married,primary,no,699,no,no,cellular,28,jan,98,1,no
2331,35,management,married,tertiary,no,14,yes,yes,unknown,8,may,64,1,no
2332,44,technician,married,secondary,no,0,no,no,unknown,2,jun,302,1,no
2333,45,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,3,yes
2334,46,blue-collar,married,tertiary,no,1497,yes,no,unknown,19,may,374,6,no
2335,51,blue-collar,married,primary,no,462,yes,no,cellular,29,aug,164,2,no
2336,30,services,divorced,secondary,no,341,yes,no,cellular,20,nov,478,1,yes
2337,51,blue-collar,married,primary,no,-1,no,no,unknown,28,may,110,8,no
2338,26,management,married,tertiary,no,877,yes,no,cellular,22,jul,611,1,no
2339,46,blue-collar,divorced,primary,no,571,yes,yes,unknown,29,may,93,1,no
2340,53,blue-collar,married,secondary,no,0,no,yes,telephone,15,jul,152,4,no
2341,38,management,married,tertiary,no,14352,no,no,unknown,6,sep,8,1,no
2342,33,management,married,tertiary,no,335,no,no,cellular,12,may,527,2,no
2343,38,management,married,tertiary,no,4174,no,no,cellular,23,oct,336,2,yes
2344,31,management,married,tertiary,no,301,yes,no,cellular,18,may,34,6,no
2345,53,admin.,divorced,secondary,no,26,yes,no,cellular,7,may,56,1,no
2346,33,admin.,married,secondary,no,1737,no,no,cellular,14,aug,228,2,no
2347,29,management,married,tertiary,no,1258,yes,no,cellular,29,jan,287,1,no
2348,27,services,single,secondary,no,3110,yes,no,unknown,3,jun,356,2,no
2349,54,housemaid,married,primary,no,1319,yes,no,telephone,23,jul,70,2,no
2350,38,unemployed,married,primary,no,7005,yes,no,cellular,7,jul,370,1,yes
2351,31,technician,married,secondary,no,660,no,no,cellular,22,jun,115,1,no
2352,46,management,married,tertiary,no,326,no,no,cellular,26,aug,182,7,no
2353,43,self-employed,married,tertiary,no,4324,yes,no,unknown,19,jun,105,1,no
2354,37,technician,single,secondary,yes,-56,yes,no,cellular,6,aug,291,4,no
2355,33,management,divorced,tertiary,yes,280,no,yes,cellular,18,nov,155,1,no
2356,45,services,married,secondary,no,925,yes,no,cellular,5,feb,118,2,no
2357,45,technician,divorced,unknown,yes,-25,no,yes,unknown,3,jul,158,3,no
2358,26,services,single,secondary,no,3,no,yes,cellular,21,jul,140,4,no
2359,35,blue-collar,divorced,secondary,no,0,no,no,cellular,15,jul,129,2,no
2360,41,management,single,tertiary,no,869,no,no,cellular,29,jan,524,2,no
2361,35,technician,divorced,tertiary,no,4515,yes,no,cellular,11,may,66,3,no
2362,33,management,married,secondary,no,588,yes,no,cellular,18,may,11,5,no
2363,59,self-employed,single,primary,no,0,yes,no,telephone,5,feb,1307,2,no
2364,50,services,married,secondary,no,1595,no,no,unknown,9,jun,882,1,yes
2365,32,services,single,primary,no,1806,no,yes,cellular,21,jul,126,4,no
2366,53,management,married,tertiary,no,193,no,no,unknown,14,may,521,2,no
2367,60,self-employed,single,secondary,no,312,yes,no,unknown,2,jun,210,2,no
2368,28,services,single,secondary,no,1136,no,no,cellular,28,jul,89,3,no
2369,47,blue-collar,divorced,primary,no,556,yes,no,unknown,14,may,227,4,no
2370,36,blue-collar,single,primary,no,90,yes,no,cellular,18,may,50,2,no
2371,34,technician,married,tertiary,no,8077,yes,no,cellular,20,nov,278,2,no
2372,32,unemployed,married,tertiary,no,283,yes,no,cellular,22,jul,151,2,no
2373,34,blue-collar,married,primary,no,479,no,no,cellular,11,jul,772,1,no
2374,37,blue-collar,married,secondary,no,563,yes,no,telephone,10,jul,27,1,no
2375,47,blue-collar,married,primary,no,254,no,yes,cellular,8,aug,492,3,no
2376,36,housemaid,married,primary,no,78,yes,no,telephone,30,jul,2692,9,yes
2377,73,retired,divorced,secondary,no,1092,no,no,cellular,7,aug,390,2,no
2378,26,blue-collar,single,primary,no,318,yes,no,unknown,8,may,101,1,no
2379,28,technician,single,secondary,no,0,no,yes,cellular,22,jul,188,2,no
2380,37,technician,married,tertiary,no,143,no,no,cellular,27,aug,57,6,no
2381,53,management,married,secondary,no,2895,yes,no,unknown,29,may,74,1,no
2382,46,admin.,married,secondary,no,1934,no,yes,unknown,15,may,240,1,no
2383,51,services,married,primary,no,314,yes,yes,telephone,8,may,713,3,no
2384,54,retired,married,secondary,no,3846,yes,yes,unknown,19,jun,216,2,no
2385,57,entrepreneur,married,tertiary,no,1681,no,no,cellular,25,jul,159,1,no
2386,40,management,married,tertiary,no,432,yes,yes,cellular,2,feb,101,1,no
2387,60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,no
2388,32,management,single,tertiary,no,5276,no,no,cellular,21,nov,299,1,no
2389,38,technician,married,tertiary,no,-3,no,no,cellular,20,nov,251,2,no
2390,46,services,divorced,secondary,no,5,yes,yes,cellular,29,jan,305,2,no
2391,53,self-employed,married,tertiary,no,1672,no,no,cellular,28,jan,176,1,no
2392,39,technician,single,secondary,no,0,no,no,cellular,25,aug,194,9,no
2393,31,blue-collar,single,secondary,no,0,yes,no,unknown,21,may,397,9,no
2394,36,blue-collar,married,secondary,no,-185,yes,no,unknown,27,may,163,2,no
2395,86,retired,married,primary,no,1255,no,no,telephone,14,jul,247,1,yes
2396,41,management,married,tertiary,no,-98,yes,yes,cellular,23,jul,244,1,no
2397,55,management,married,tertiary,no,42,yes,no,telephone,11,may,386,2,no
2398,27,services,single,secondary,no,0,no,no,cellular,6,feb,145,1,no
2399,37,blue-collar,single,secondary,no,2469,yes,no,cellular,7,may,232,1,no
2400,52,technician,married,unknown,no,668,yes,no,cellular,31,jul,212,4,no
2401,41,management,married,tertiary,no,24,no,no,cellular,27,aug,130,8,no
2402,31,admin.,single,secondary,no,78,no,no,unknown,20,may,572,1,no
2403,47,technician,married,secondary,no,293,no,no,cellular,1,jun,251,1,yes
2404,67,technician,married,secondary,no,0,no,no,cellular,13,aug,1152,2,no
2405,44,technician,married,secondary,no,1,no,yes,unknown,2,jul,108,3,no
2406,45,blue-collar,married,secondary,no,607,yes,no,unknown,26,may,398,7,no
2407,45,blue-collar,divorced,primary,no,102,yes,no,cellular,11,may,282,1,no
2408,31,admin.,married,secondary,no,236,yes,yes,telephone,4,may,211,3,no
2409,40,blue-collar,married,primary,no,409,yes,no,unknown,15,may,191,1,no
2410,29,blue-collar,married,primary,no,0,yes,no,unknown,13,may,53,1,no
2411,30,blue-collar,single,secondary,no,609,yes,no,unknown,14,may,402,1,no
2412,35,admin.,married,secondary,no,2897,no,no,unknown,9,jun,243,2,no
2413,29,blue-collar,single,secondary,no,1550,yes,yes,cellular,13,may,228,3,no
2414,37,technician,single,secondary,no,61,yes,no,unknown,19,may,182,8,no
2415,34,management,married,tertiary,no,1006,yes,no,cellular,19,nov,783,3,yes
2416,42,blue-collar,married,secondary,no,3213,no,no,telephone,28,oct,172,1,no
2417,42,unemployed,married,tertiary,no,1270,yes,no,unknown,15,may,192,1,no
2418,34,technician,married,secondary,no,2959,no,no,cellular,13,aug,413,5,no
2419,50,self-employed,married,secondary,no,6174,yes,yes,unknown,29,may,456,1,no
2420,35,services,married,secondary,no,322,yes,yes,unknown,20,jun,590,4,no
2421,58,entrepreneur,single,tertiary,yes,6162,no,yes,telephone,3,feb,112,1,no
2422,30,management,single,tertiary,no,21,no,no,cellular,26,aug,61,7,no
2423,37,services,single,secondary,no,510,yes,no,unknown,26,may,322,1,no
2424,33,blue-collar,married,secondary,no,215,no,no,cellular,15,apr,166,1,no
